activity_id,alt_activity_ids,title,description_cut,description_fill
429437,,Tour Trekking Sapa 2 Ngày - Nhóm Nhỏ Ở Khách Sạn,"Khám phá những ngọn đồi ngoạn mục xung quanh Sapa với chuyến phiêu lưu trekking kéo dài hai ngày, được hướng dẫn bởi một chuyên gia địa phương và được thiết kế cho các nhóm nhỏ. Tận hưởng một đêm thoải mái tại khách sạn 3 sao, ba bữa mỗi ngày, một",
472050,,Vé Vào Công Viên Thiên Nhiên Sun World Hòn Thơm - Phú Quốc,"Trải nghiệm hành trình ngắm cảnh tại Sun World Hon Thom Nature Park ở Phú Quốc, Việt Nam, bắt đầu bằng việc vào ga cáp treo mang tính biểu tượng của công viên. Tận hưởng khung cảnh ngoạn mục khi bạn lái chiếc xe dài nhất thế giới",
493706,,Đà Nẵng đi Huế - Vé xe Limousine hàng ngày,"Di chuyển giữa Huế và Đà Nẵng với dịch vụ xe limousine hàng ngày.

- Được trang bị điều hòa hiện đại
- Bao gồm các tiện nghi cho hành trình",
519725,,"Trải nghiệm đạp xe miền quê - Cảng Phú Mỹ, Việt Nam","Bắt đầu hành trình bên bờ biển và đạp xe vào những khu rừng cao su nổi tiếng ở Đông Nam Bộ Việt Nam. Tuyến đường đặc biệt này được thiết kế để tối đa hóa thời gian của bạn trên bờ, giúp bạn sống chậm lại, đắm chìm trong y",
530011,,Tour tham quan khu bảo tồn thiên nhiên Mùa Xuân - Du thuyền vùng đất ngập nước và động vật hoang dã,Khám phá sự kỳ diệu của Khu bảo tồn thiên nhiên Mùa Xuân với hành trình có hướng dẫn bắt đầu bằng chuyến lái xe ngắm cảnh và hành trình nhẹ nhàng qua những tuyến đường thủy yên tĩnh được bao phủ bởi cây xanh tươi tốt. Trải nghiệm hệ sinh thái sôi động,
542167,,Shore Excursion - Tour riêng tham quan thành phố Sài Gòn từ cảng Phú Mỹ,"Khám phá Sài Gòn với chuyến tham quan riêng cả ngày có hướng dẫn viên bắt đầu từ Cảng Phú Mỹ, di chuyển trên ô tô hoặc xe tải có máy lạnh thoải mái. Hướng dẫn viên địa phương của bạn sẽ điều chỉnh hành trình theo sở thích của bạn, sha",
547055,,PHONG NHA & DARK Cave: Tour hang động ở Phong Nha,"Dark Cave là một trải nghiệm mạo hiểm và đầy hành động. Tham quan hang động này bao gồm zipline qua dòng sông xanh ngọc (có áo phao), bơi vào cửa hang",
560399,,Tour Địa Đạo Củ Chi - Trải nghiệm ngầm trong Chiến tranh Việt Nam theo nhóm nhỏ,"Khám phá Địa đạo Củ Chi, một mạng lưới ngầm rộng lớn được quân du kích Việt Cộng xây dựng trong Chiến tranh Việt Nam, trong chuyến tham quan nhóm nhỏ từ Thành phố Hồ Chí Minh. Khám phá khu vực sinh sống của đường hầm",
621684,,Vé xem Ký ức Hội An - Outdoor Performance Vietnam,"Trải nghiệm Ký ức Hội An, một buổi biểu diễn ngoài trời hoành tráng tái hiện 400 năm lịch sử của phố cổ trên sân khấu lớn ven sông. Xem hơn 500 người biểu diễn sử dụng hình ảnh rực rỡ",
686914,,Thác Bản Giốc và Hà Nội Tour - Hà Giang đến Hà Nội,"Bắt đầu hành trình từ Hà Giang với một công ty du lịch địa phương và trải nghiệm những cảnh quan ngoạn mục của Công viên địa chất toàn cầu Cao Bằng, được UNESCO công nhận. Khám phá phong cảnh núi non, những con đường quanh co và",
719781,,Đưa đón riêng - Sân bay Cỏ Ống đến/từ Côn Đảo,"Đến Sân bay Cỏ Ống và tận hưởng dịch vụ đưa đón riêng, suôn sẻ trực tiếp đến khách sạn của bạn ở Côn Đảo. Tài xế chuyên nghiệp chào đón bạn tại sân bay và đảm bảo bạn có chuyến đi thoải mái trên xe có máy lạnh",
736105,,Tháp tài chính Bitexco - Vé vào cổng Sài Gòn Skydeck,"Tận hưởng tầm nhìn 360 độ ngoạn mục của Thành phố Hồ Chí Minh từ Sài Gòn Skydeck trên tầng 49 của Tháp Tài chính Bitexco, cao 178 mét so với mặt đất. Skydeck mang lại cảm giác thoải mái",
738499,,Đặt xe riêng sân bay Phù Cát (UIH) đi Phú Yên,Đừng lo lắng khi đến Sân bay Phù Cát và đặt trước dịch vụ đưa đón riêng phù hợp với số lượng người trong nhóm của bạn (tối đa 15 người). Tránh phải xếp hàng dài đón taxi khi đến nơi và di chuyển thoải mái trên,
740225,,Đưa đón bằng xe buýt: Đảo Cát Bà đi Hà Nội,"Đi từ Đảo Cát Bà đến Hà Nội với hành trình đi bằng tàu cao tốc để di chuyển nhanh hơn trên mặt nước.

- Cung cấp hướng dẫn xe buýt nói tiếng Anh
- Thông tin chi tiết về chuyến đi và",
745738,,Đưa đón riêng - Sân bay Quy Nhơn Phù Cát đến/từ Trung tâm Thành phố,Đến Quy Nhon thoải mái với dịch vụ đưa đón riêng giữa Sân bay Phù Cát và Trung tâm Thành phố Quy Nhon. Một tài xế chuyên nghiệp sẽ chào đón bạn tại sân bay và đưa bạn thẳng đến khách sạn trong chiếc,
746273,,"Du Thuyền Hạ Long Một Ngày - Chèo Kayak, Bơi Lội, Leo Núi & Ăn Trưa","Khám phá vẻ đẹp nên thơ của Vịnh Hạ Long trên hành trình du thuyền một ngày với hoạt động chèo kayak, bơi lội và leo núi. Lướt qua khung cảnh núi đá vôi biểu tượng và đắm mình trong kỳ quan thiên nhiên của vùng duyên hải",
753100,,Đặt xe riêng sân bay Phù Cát (UIH) đi Dốc Lết,Đừng lo lắng khi đến Sân bay Phù Cát và đặt trước dịch vụ đưa đón riêng phù hợp với số lượng người trong nhóm của bạn (tối đa 15 người). Tránh phải xếp hàng dài đón taxi khi đến nơi và di chuyển thoải mái trên,
